ip,rdns,country,city,lat,lon,asn,isp
185.66.47.164,164-47-66-185-red-servicios.onlycable.es,Spain,Cartagena,37.6051,-0.9862,AS50563 Onlycable Comunicaciones S.L.,Onlycable Comunicaciones S.L.
88.188.52.207,88-188-52-207.subs.proxad.net,France,Marseille,43.2865,5.4385,AS12322 Free SAS,Free SAS
88.160.24.14,88-160-24-14.subs.proxad.net,France,Pierrefitte-sur-Seine,48.9686,2.3553,AS12322 Free SAS,Free SAS
92.184.120.22,92-184-120-22.mobile.fr.orangecustomers.net,France,Lyon,45.748,4.85,AS3215 Orange,Orange
31.43.247.51,N/A,Ukraine,Uzhhorod,48.6191,22.3025,AS43764 LLC Electron-sevlush,LLC Electron-sevlush
87.220.57.142,142.57.220.87.dynamic.jazztel.es,Spain,Fuenlabrada,40.2856,-3.7978,AS12479 Orange Espagne SA,Orange Espagne SA
186.158.236.231,host231.186-158-236.telmex.net.ar,Argentina,Unknown,-34.6022,-58.3845,AS11664 Techtel LMDS Comunicaciones Interactivas S.A.,Techtel LMDS Comunicaciones Interactivas S.A.
31.215.6.191,N/A,United Arab Emirates,Abu Dhabi,24.4542,54.406,AS5384 Emirates Telecommunications Group Company (etisalat Group) Pjsc,Emirates Telecommunications Group Company (etisalat Group) Pjsc
196.115.32.247,N/A,Morocco,Casablanca,33.5922,-7.6184,AS36925 ASMedi,ASMedi
38.252.34.217,N/A,Libya,Tripoli,32.8908,13.1796,AS328539 Giga-Communication,Giga-Communication
176.105.222.193,N/A,Ukraine,Myrhorod,49.9714,33.6082,AS24812 RPC HomeNet Ltd.,RPC HomeNet Ltd.
186.168.150.47,N/A,Colombia,Santiago de Cali,3.4385,-76.523,AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC,COLOMBIA TELECOMUNICACIONES S.A. ESP BIC
141.179.40.76,N/A,Saudi Arabia,Dammam,26.4336,50.1116,AS25019 Saudi Telecom Company JSC,Saudi Telecom Company JSC
186.74.8.67,N/A,Panama,Panama City,8.9948,-79.523,AS11556 Cable & Wireless Panama,Cable & Wireless Panama
31.41.89.50,50-89-41-31.users.novi.uz.ua,Ukraine,Uzhhorod,48.6191,22.3025,AS41820 New Information Systems PP,New Information Systems PP
179.38.206.193,179-38-206-193.mrse.com.ar,Argentina,Mariano Moreno,-34.4615,-58.9319,AS22927 Telefonica de Argentina,Telefonica de Argentina
176.122.121.237,N/A,Ukraine,Pokrovske,47.5532,34.1434,AS50581 Ukrainian Telecommunication Group LLC,Ukrainian Telecommunication Group LLC
190.72.12.141,190-72-12-141-chc-00-p68.cantv.net,Venezuela,Unknown,8.0,-66.0,"AS8048 CANTV Servicios, Venezuela","CANTV Servicios, Venezuela"
5.29.152.135,N/A,Israel,Holon,32.0123,34.7705,AS12849 Hot-Net internet services Ltd.,Hot-Net internet services Ltd.
186.248.165.128,BHE165128.CORP.atcmultimidia.com.br,Brazil,Contagem,-19.8828,-44.0801,AS23106 AMERICAN TOWER DO BRASIL-COMUNICACAO MULTIMIDIA LT,AMERICAN TOWER DO BRASIL-COMUNICACAO MULTIMIDIA LT
189.131.41.136,dsl-136-41-131-189-dynamic.prod-infinitum.com.mx,Mexico,Álvaro Obregón,19.3529,-99.225,AS8151 UNINET,UNINET
37.54.25.93,93-25-54-37.pool.ukrtel.net,Ukraine,Kyiv,50.458,30.5303,AS6849 JSC Ukrtelecom,JSC Ukrtelecom
37.21.156.209,N/A,Russia,Tomsk,56.4957,84.9636,AS12389 Rostelecom,Rostelecom
185.95.229.227,N/A,Russia,Nizhniy Novgorod,56.3327,44.0012,AS208314 Access Telecom Ltd.,Access Telecom Ltd.
150.253.39.11,N/A,Palestine,Unknown,31.9216,35.2033,AS12975 Palestine Telecommunications Company (PALTEL),Palestine Telecommunications Company (PALTEL)
187.154.145.50,dsl-50-145-154-187-dynamic.prod-infinitum.com.mx,Mexico,Centro Municipality,18.0161,-92.9008,AS8151 UNINET,UNINET
178.217.45.88,N/A,Russia,Volzhsk,55.8685,48.3578,AS8359 MTS PJSC,MTS PJSC
5.43.219.35,ADSL-5.43.219.35.mada.ps,Palestine,Unknown,31.9216,35.2033,AS51407 Mada Al-Arab General Services Company,Mada Al-Arab General Services Company
193.107.177.61,N/A,Ukraine,Novoiavorivsk,49.9251,23.5538,AS50662 PP Scientific-industrial enterprise 'Leokom',PP Scientific-industrial enterprise 'Leokom'
38.255.78.132,N/A,Chile,La Serena,-29.907,-71.2562,AS267728 SOCIEDAD DE SERVICIOS TECNOLOGICOS Y TELECOMUNICACIONES TELCONOR LTDA.,SOCIEDAD DE SERVICIOS TECNOLOGICOS Y TELECOMUNICACIONES TELCONOR LTDA.
84.54.72.32,32.72.albatros.uz,Uzbekistan,Tashkent,41.2615,69.2177,AS8193 Uzbektelekom Joint Stock Company,Uzbektelekom Joint Stock Company
86.127.161.17,static-86-127-161-17.pitesti.rdsnet.ro,Romania,Călan,45.7373,22.9838,AS8708 Digi Romania S.A.,Digi Romania S.A.
179.227.133.235,179-227-133-235.user.vivozap.com.br,Brazil,Unknown,-22.8305,-43.2192,AS26599 TELEFONICA BRASIL S.A,TELEFONICA BRASIL S.A
5.2.141.243,static-5-2-141-243.rdsnet.ro,Romania,Bucharest,44.4205,26.169,AS8708 Digi Romania S.A.,Digi Romania S.A.
45.172.213.2,2132.myfibernet.com.br,Brazil,Quatiguá,-23.552,-49.9215,AS268796 D.A.S PROVEDOR DE INTERNET FIBRA OTICA E BANDA,D.A.S PROVEDOR DE INTERNET FIBRA OTICA E BANDA
